epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.61116,1.79888,3.76899,1.90702,0.00423,0.85714,0.25832,0.1494,0.86734,3.19602,1.1442,0.00015719,0.00015719,0.00015719
2,14.8507,1.67073,3.25473,1.79487,0.00543,0.84127,0.2373,0.09955,1.43335,3.35114,1.51263,0.000326501,0.000326501,0.000326501
3,20.5203,1.52807,2.8449,1.70916,0.00681,0.81587,0.19395,0.11244,1.70975,3.33189,1.73337,0.000493548,0.000493548,0.000493548
4,29.1875,1.61927,2.71771,1.77227,0.00147,0.34603,0.016,0.00496,2.27388,3.91556,3.29993,0.000658332,0.000658332,0.000658332
5,34.8886,1.59971,2.56114,1.70123,0.11501,0.09524,0.1046,0.04066,2.56642,3.5262,3.0068,0.000820852,0.000820852,0.000820852
6,41.5982,1.57945,2.42098,1.69014,0.09612,0.33607,0.11829,0.04992,2.09522,4.28757,2.48257,0.000981109,0.000981109,0.000981109
7,48.2245,1.56191,2.38109,1.70593,0.54982,0.16349,0.08643,0.03424,2.41354,5.96632,3.30664,0.0011391,0.0011391,0.0011391
8,54.1125,1.61112,2.28165,1.70579,0.03536,0.16667,0.02825,0.00781,3.01231,12.646,5.22368,0.00129483,0.00129483,0.00129483
9,61.175,1.58668,2.31435,1.70488,0.05468,0.02381,0.03877,0.01351,2.31667,3.8831,2.65439,0.00135355,0.00135355,0.00135355
10,66.8712,1.56897,2.2149,1.70554,0.5594,0.11905,0.10527,0.03589,2.58715,3.7197,3.16825,0.00134412,0.00134412,0.00134412
11,73.9314,1.58655,2.224,1.72964,0.03284,0.04762,0.01722,0.00264,3.18734,12.5187,5.36942,0.00133469,0.00133469,0.00133469
12,79.7266,1.54258,2.01304,1.67128,0.5504,0.32092,0.31205,0.14519,2.1314,3.13445,2.38327,0.00132525,0.00132525,0.00132525
13,85.7346,1.58457,2.02908,1.71037,0.375,0.57738,0.39351,0.20754,1.62237,2.55343,1.91609,0.00131582,0.00131582,0.00131582
14,92.5562,1.58905,1.95271,1.70789,0.50552,0.39683,0.41696,0.20032,1.72892,2.45509,1.91678,0.00130639,0.00130639,0.00130639
15,98.5032,1.57805,1.97889,1.73171,0.6938,0.41002,0.55116,0.31592,1.56326,2.36796,1.71772,0.00129696,0.00129696,0.00129696
16,105.963,1.5805,1.9363,1.72182,0.42856,0.52403,0.40086,0.22122,1.67284,2.30409,1.80879,0.00128753,0.00128753,0.00128753
17,111.559,1.55301,1.84555,1.66658,0.56164,0.46508,0.4991,0.30333,1.39006,2.36103,1.56574,0.0012781,0.0012781,0.0012781
18,118.17,1.46722,1.7678,1.61158,0.577,0.52348,0.42959,0.22099,1.46363,2.61345,1.6539,0.00126867,0.00126867,0.00126867
19,124.432,1.50351,1.65565,1.58425,0.46068,0.71227,0.56071,0.30903,1.39958,2.28851,1.62958,0.00125923,0.00125923,0.00125923
20,130.031,1.53705,1.69865,1.61984,0.55509,0.50952,0.55816,0.32851,1.47501,1.68432,1.58214,0.0012498,0.0012498,0.0012498
21,137.633,1.51374,1.70983,1.63406,0.61007,0.67244,0.70398,0.41275,1.35653,1.52191,1.53262,0.00124037,0.00124037,0.00124037
22,143.193,1.43669,1.5728,1.58982,0.67024,0.69458,0.73973,0.44418,1.37101,1.47451,1.5335,0.00123094,0.00123094,0.00123094
23,150.593,1.45519,1.52937,1.55755,0.58564,0.69032,0.68904,0.38258,1.52305,1.37781,1.70542,0.00122151,0.00122151,0.00122151
24,155.937,1.40369,1.46394,1.50531,0.51854,0.51905,0.54708,0.29451,1.63882,2.21619,1.79305,0.00121208,0.00121208,0.00121208
25,161.935,1.41685,1.50814,1.56851,0.77263,0.51111,0.65735,0.3897,1.45846,1.58783,1.65658,0.00120265,0.00120265,0.00120265
26,168.718,1.37151,1.44187,1.50213,0.84835,0.55714,0.7577,0.4562,1.37638,1.25395,1.54478,0.00119322,0.00119322,0.00119322
27,174.147,1.43434,1.43766,1.54447,0.58141,0.69683,0.65095,0.42218,1.34753,1.4437,1.64504,0.00118378,0.00118378,0.00118378
28,181.63,1.39923,1.40686,1.52433,0.54522,0.82032,0.66988,0.43345,1.26133,1.35443,1.46628,0.00117435,0.00117435,0.00117435
29,187.27,1.42456,1.38984,1.55619,0.62856,0.75942,0.7323,0.44899,1.14501,1.44209,1.44243,0.00116492,0.00116492,0.00116492
30,193.855,1.38668,1.40836,1.52355,0.66555,0.63191,0.73022,0.45023,1.21808,1.45652,1.51985,0.00115549,0.00115549,0.00115549
31,200.516,1.39419,1.35987,1.50293,0.75576,0.66228,0.75826,0.52051,1.23507,1.25478,1.5065,0.00114606,0.00114606,0.00114606
32,205.949,1.30222,1.28644,1.44742,0.76986,0.63206,0.75203,0.48881,1.34839,1.2062,1.54344,0.00113663,0.00113663,0.00113663
33,212.948,1.3104,1.31493,1.47911,0.90809,0.55559,0.76942,0.47202,1.45655,1.27779,1.60064,0.0011272,0.0011272,0.0011272
34,218.768,1.36786,1.34804,1.50573,0.68638,0.60916,0.73143,0.41821,1.41961,1.25487,1.554,0.00111776,0.00111776,0.00111776
35,225.249,1.36985,1.31132,1.48571,0.82002,0.7597,0.8516,0.55958,1.22529,0.96357,1.39448,0.00110833,0.00110833,0.00110833
36,231.509,1.3112,1.29888,1.46212,0.7823,0.78876,0.84304,0.56481,1.1515,0.9211,1.37677,0.0010989,0.0010989,0.0010989
37,237.288,1.26253,1.2251,1.44746,0.84787,0.79152,0.86542,0.5739,1.30814,0.84517,1.50673,0.00108947,0.00108947,0.00108947
38,244.363,1.30411,1.22897,1.45617,0.91326,0.76158,0.90303,0.52639,1.36983,0.98538,1.54004,0.00108004,0.00108004,0.00108004
39,249.591,1.33176,1.25784,1.48828,0.69974,0.59632,0.70474,0.50184,1.17099,1.27351,1.50145,0.00107061,0.00107061,0.00107061
40,256.566,1.2967,1.23073,1.4647,0.85593,0.78837,0.89326,0.57121,1.1914,0.90091,1.40419,0.00106118,0.00106118,0.00106118
41,262.596,1.33205,1.25259,1.47397,0.8046,0.84548,0.87824,0.54283,1.3946,0.87052,1.50307,0.00105174,0.00105174,0.00105174
42,268.231,1.3211,1.24654,1.45762,0.80053,0.86388,0.94188,0.67148,1.03756,0.85862,1.34705,0.00104231,0.00104231,0.00104231
43,275.307,1.31784,1.24062,1.47289,0.91163,0.89542,0.94879,0.64722,1.02366,0.84397,1.29638,0.00103288,0.00103288,0.00103288
44,281.003,1.22918,1.17437,1.42046,0.86991,0.84912,0.91295,0.66765,0.97268,0.93554,1.26327,0.00102345,0.00102345,0.00102345
45,288.263,1.23948,1.11954,1.43807,0.84398,0.77992,0.84201,0.58768,1.08788,0.91507,1.33376,0.00101402,0.00101402,0.00101402
46,293.527,1.26075,1.18035,1.42439,0.91132,0.70491,0.86758,0.51169,1.38853,1.26309,1.5505,0.00100459,0.00100459,0.00100459
47,299.92,1.25832,1.13172,1.45265,0.91102,0.71446,0.81567,0.44113,1.83397,1.07864,1.93722,0.000995156,0.000995156,0.000995156
48,306.642,1.21816,1.09368,1.41454,0.86248,0.78286,0.86485,0.54323,1.50287,0.91756,1.54353,0.000985724,0.000985724,0.000985724
49,311.797,1.21697,1.09659,1.39586,0.72698,0.74795,0.85574,0.60123,1.14136,1.07912,1.34057,0.000976293,0.000976293,0.000976293
50,319.347,1.25302,1.16609,1.42562,0.86125,0.72006,0.86268,0.55315,1.16344,0.91137,1.45735,0.000966861,0.000966861,0.000966861
51,324.927,1.22386,1.09214,1.42622,0.78278,0.71496,0.77568,0.52112,1.22997,1.0665,1.46022,0.00095743,0.00095743,0.00095743
52,331.48,1.18728,1.07388,1.38797,0.87367,0.82775,0.88667,0.65377,1.09254,0.84693,1.36863,0.000947999,0.000947999,0.000947999
53,337.709,1.23399,1.10576,1.4126,0.78007,0.79817,0.88783,0.62715,1.09164,1.00101,1.37043,0.000938567,0.000938567,0.000938567
54,343.29,1.20765,1.07983,1.395,0.85652,0.87121,0.94567,0.68516,0.99618,0.76358,1.25372,0.000929136,0.000929136,0.000929136
55,350.813,1.16915,1.04788,1.36523,0.75492,0.80139,0.8362,0.60918,0.96359,0.99604,1.26279,0.000919704,0.000919704,0.000919704
56,356.079,1.11727,1.00432,1.33883,0.88494,0.78845,0.90819,0.68269,0.87287,0.88636,1.22559,0.000910273,0.000910273,0.000910273
57,363.066,1.12369,1.00509,1.34352,0.93892,0.93794,0.97711,0.71168,0.96888,0.67277,1.26894,0.000900842,0.000900842,0.000900842
58,369.008,1.14897,1.01023,1.3611,0.91689,0.84764,0.92056,0.65735,0.97704,0.7881,1.27793,0.00089141,0.00089141,0.00089141
59,374.688,1.13312,0.98646,1.34753,0.94803,0.87825,0.9411,0.6647,1.03166,0.76478,1.35402,0.000881979,0.000881979,0.000881979
60,381.908,1.12582,0.9562,1.347,0.88387,0.85492,0.90356,0.6736,0.94837,0.7776,1.29872,0.000872547,0.000872547,0.000872547
61,387.223,1.14057,1.00505,1.36284,0.90258,0.82785,0.93843,0.71052,0.9286,0.69733,1.27698,0.000863116,0.000863116,0.000863116
62,394.166,1.09465,0.97266,1.30312,0.84892,0.80784,0.9237,0.65787,1.06716,0.87002,1.38935,0.000853685,0.000853685,0.000853685
63,399.602,1.04886,0.88347,1.27739,0.86456,0.9556,0.97345,0.72172,0.97083,0.66954,1.25323,0.000844253,0.000844253,0.000844253
64,406.08,1.07874,0.95722,1.30809,0.96461,0.84734,0.95346,0.69402,0.94537,0.71869,1.29112,0.000834822,0.000834822,0.000834822
